Name,FieldTime,FID,Shape Area,LavaFlow
17,19-May-18,255,17502.10916,LavaFlow
17,19-May-18,256,1415.023249,LavaFlow
17,19-May-18,257,2019.354279,LavaFlow
17,19-May-18,258,3425.073305,LavaFlow
17,19-May-18,259,12022.58723,LavaFlow
17,19-May-18,260,824.6668383,LavaFlow
17,19-May-18,261,739.9389626,LavaFlow
17,19-May-18,262,724.528234,LavaFlow
17,19-May-18,263,4369.545327,LavaFlow
17,19-May-18,264,8181.387247,LavaFlow
15,8-May-18,265,293.3317174,LavaFlow
15,8-May-18,266,2494.799171,LavaFlow
5/6/13/15,21-May-18,267,298603.3771,LavaFlow
19/20/22,21-May-18,268,16393.67691,LavaFlow
19/20/22,21-May-18,269,877.2115996,LavaFlow
19/20/22,21-May-18,270,5305.565064,LavaFlow
11,21-May-18,271,343.2995083,LavaFlow
12,21-May-18,272,56.25486316,LavaFlow
12,21-May-18,273,22.73717394,LavaFlow
10,21-May-18,274,784.4714175,LavaFlow
24,21-May-18,275,21596.14464,LavaFlow
13,21-May-18,276,7090.622132,LavaFlow
5/6/13/15,21-May-18,277,14328.90805,LavaFlow
5/6/13/15,21-May-18,278,52532.98229,LavaFlow
5/6/13/15,21-May-18,279,2381.886979,LavaFlow
5/6/13/15,21-May-18,280,803.8890955,LavaFlow
5/6/13/15,21-May-18,281,55.17604141,LavaFlow
5/6/13/15,21-May-18,282,9500.891276,LavaFlow
19/20/22,21-May-18,283,139.9327137,LavaFlow
5/6/13/15,21-May-18,284,14518.49224,LavaFlow
5/6/13/15,21-May-18,285,163051.7421,LavaFlow
19/20/22,21-May-18,286,21676.75061,LavaFlow
19/20/22,21-May-18,287,62524.96899,LavaFlow
19/20/22,21-May-18,288,91.71552817,LavaFlow
19/20/22,21-May-18,289,126.1611091,LavaFlow
19/20/22,21-May-18,290,981.4643277,LavaFlow
18,21-May-18,291,847.2920767,LavaFlow
18,21-May-18,292,1354.71922,LavaFlow
17,21-May-18,293,1017.26813,LavaFlow
17,21-May-18,294,44.36742781,LavaFlow
17,21-May-18,295,21.16660518,LavaFlow
17,21-May-18,296,825.945638,LavaFlow
17,21-May-18,297,21.29503696,LavaFlow
17,21-May-18,298,106.7999322,LavaFlow
17,21-May-18,299,137.6779606,LavaFlow
12,22-May-18,300,165.5223647,LavaFlow
10,22-May-18,301,1383.075102,LavaFlow
24,22-May-18,302,64.06868045,LavaFlow
24,22-May-18,303,259.2713338,LavaFlow
24,22-May-18,304,387.2734733,LavaFlow
24,22-May-18,305,150.4716459,LavaFlow
24,22-May-18,306,87.81175111,LavaFlow
21,22-May-18,307,11919.6718,LavaFlow
21,22-May-18,308,2286.771589,LavaFlow
21,22-May-18,309,302.0280263,LavaFlow
23,22-May-18,310,1138.515173,LavaFlow
23,22-May-18,311,437.4899883,LavaFlow
23,22-May-18,312,356.4252446,LavaFlow
5/6/13/15,22-May-18,313,900.7919216,LavaFlow
5/6/13/15,22-May-18,314,8440.215645,LavaFlow
