objectid,type,name,managedby,island,gis_acre
300,fr,MOLOKAI FOREST RESERVE,DOFAW,Molokai,0.15982918
301,fr,MOLOKAI FOREST RESERVE,DOFAW,Molokai,0.03051217
302,fr,MOLOKAI FOREST RESERVE,DOFAW,Molokai,0.25810951
303,fr,MOLOKAI FOREST RESERVE,DOFAW,Molokai,0.77833393
304,fr,MOLOKAI FOREST RESERVE,DOFAW,Molokai,0.04602537
305,fr,MOLOKAI FOREST RESERVE,DOFAW,Molokai,0.23512811
306,fr,MOLOKAI FOREST RESERVE,DOFAW,Molokai,0.0302742
309,fr,MOLOKAI FOREST RESERVE,DOFAW,Molokai,396.2464117
310,fr,MOLOKAI FOREST RESERVE,DOFAW,Molokai,1563.552702
311,fr,MOLOKAI FOREST RESERVE,DOFAW,Molokai,171.7117946
312,fr,MOLOKAI FOREST RESERVE,DOFAW,Molokai,1626.513549
313,fr,MOLOKAI FOREST RESERVE,DOFAW,Molokai,1416.3499
326,ws,SAND ISLAND WILDLIFE SANCTUARY,DOFAW,Kure,4.18153185
314,fr,KIPAHULU FOREST RESERVE,DOFAW,Maui,2176.617033
315,fr,KIPAHULU FOREST RESERVE,DOFAW,Maui,27.14397668
316,fr,KIPAHULU FOREST RESERVE,DOFAW,Maui,3.1947968
317,fr,KIPAHULU FOREST RESERVE,DOFAW,Maui,89.33686862
318,fr,KOHALA FOREST RESERVE,DOFAW,Hawaii,1.43645485
327,ws,GREEN ISLAND WILDLIFE SANCTUARY,DOFAW,Kure,235.9412501
335,xxx,KAOHE MITIGATION,DOFAW,Hawaii,1803.508197
336,fr,NA PALI-KONA FOREST RESERVE,DOFAW,Kauai,4132.074685
337,fr-p,NA PALI-KONA FR/ALAKAI WILDERNESS PRESERVE,DOFAW,Kauai,9939.740442
338,fr,NA PALI-KONA FOREST RESERVE,DOFAW,Kauai,8405.843639
339,fr,PUU KA PELE FOREST RESERVE,DOFAW,Kauai,13972.88954
340,fr,PUU KA PELE FOREST RESERVE,DOFAW,Kauai,9405.932068
328,xxx,KAHUKU MOTOCROSS PARK,US Army/DOFAW,Oahu,449.7473112
329,ws,KAWAINUI MARSH WILDLIFE SANCTUARY,DOFAW,Oahu,796.5777477
362,tnc,KANEPUU PRESERVE (NATURE CONSERVANCY),TNC,Lanai,29.50382293
363,spr,KIHOLO STATE PARK RESERVE,DOSP,Hawaii,4493.202746
330,shp,ULUPO HEIAU STATE HISTORICAL PARK,DOSP,Oahu,28.67080176
331,ws,KANAHA POIND WILDLIFE SANCTUARY (MAUONI SECTION),DOFAW,Maui,7.80751242
332,fr,MANA PLAINS FOREST RESERVE,DOFAW,Kauai,139.15276
333,fr,EWA FOREST RESERVE (KALAUAO SEC),DOFAW,Oahu,645.9628177
364,tnc,KIHOLO PRESERVE (NATURE CONSERVANCY),TNC,Hawaii,6.7717926
334,ws,POUHALA MARSH WILDLIFE SANCTUARY,DOFAW,Oahu,72.20697865
341,fr,NOUNOU FOREST RESERVE,DOFAW,Kauai,722.5973228
342,fr,WAIMANALO FOREST RESERVE,DOFAW,Oahu,1687.640536
343,fr,WAIAHOLE FOREST RESERVE,DOFAW,Oahu,67.16325295
365,nps,HONOULIULI NATIONAL MONUMENT,NPS,Oahu,155.0859834
344,fr,WAIAHOLE FOREST RESERVE (IOLEKAA SEC),DOFAW,Oahu,199.9446023
366,srp,AHUIKINI STATE RECREATION PIER,DOSP,Kauai,1.13672963
367,sra,POLIPOLI SPRING STATE RECREATION AREA,DOSP,Maui,2.00609381
345,fr,WAIAHOLE FOREST RESERVE (WAIAHOLE SEC),DOFAW,Oahu,1236.777245
